gene_symbol,ANEUPLOIDY_SCORE_rho,ANEUPLOIDY_SCORE_pval,FRACTION_GENOME_ALTERED_rho,FRACTION_GENOME_ALTERED_pval,n_samples
RABEP1,0.1334421532848745,0.08947618913740575,-0.12604106729612471,0.1004513224505663,171
SYMPK,0.13304130947297196,0.09045160225632712,0.12741025716411994,0.09678174375500213,171
CCDC80,0.13127704189947717,0.09484591500347912,-0.23356027165403184,0.002109041165693897,171
SSH2,0.13125901086295563,0.09489168481840078,-0.23109308991117625,0.002357610525416633,171
RBM17,0.13032555797226222,0.09728519343208672,0.15085928364132822,0.048888974629987106,171
STARD8,0.12982901096651447,0.09857775474654396,-0.3414646731614801,4.862930500926415e-06,171
PROSER2,0.12813964154472465,0.1030773222399821,0.0767142323146947,0.318627955274214,171
BICDL2,0.12784975795757023,0.10386542755854772,0.08690815687965474,0.25835994257893535,171
BAHD1,0.12623389968467605,0.10834570311436843,-0.14170575137746533,0.06448779084834905,171
P2RY8,0.12545301710301127,0.11056446721202512,-0.48556680680571707,1.6804113744905696e-11,171
SUCO,0.1253587009119754,0.11083484181465485,0.09040973096800713,0.23959518556793297,171
PTPN14,0.1245334342404114,0.11322273261775162,0.07171386931737997,0.3512832796169859,171
UBR4,0.12382744981045163,0.11529718617399025,-0.04150169288748011,0.5899166647937767,171
SON,0.12379277474021783,0.11539983268244476,-0.0014687891309606953,0.9847884193928382,171
SENP7,0.12345573305754548,0.1164012691225973,-0.13666458868206835,0.07468632712747961,171
MIEN1,0.12334199882717868,0.11674072444238559,0.06490031973764562,0.399034632571678,171
FGD1,0.12302021417540919,0.1177053075270064,0.31157529434287795,3.350583387598245e-05,171
SPAG7,0.12256250324832327,0.11908800386169008,-0.11398715649506247,0.1376801915037865,171
OTUD5,0.1225278281780895,0.11919326529655354,0.10740520520150086,0.16203743938683624,171
DENND4C,0.12222130055722287,0.12012692051582141,-0.03361055128192656,0.662535915930993,171
KCMF1,0.12157495724806518,0.12211420709249637,0.26312565287021616,0.0005069565655165059,171
SH2D3C,0.12125603060172084,0.1231041318434946,-0.4067276342520871,3.3867154340245754e-08,171
LSM14A,0.12116301741368786,0.1233940041430767,0.24421259282685703,0.0012866004760042783,171
STAT5A,0.12088700385462696,0.12425729872600959,-0.2491349564013675,0.0010164422256238315,171
PRKAR2A,0.12063595634613439,0.12504655319359828,-0.006160754410418473,0.9362593831949004,171
AKAP11,0.11976630558467115,0.12781056045092443,-0.12856584861274342,0.09376803329451353,171
NADK,0.11885504473892737,0.13075707070958204,-0.17650789384161733,0.02092288555330663,171
PPP2R5D,0.11734875968797191,0.13574163681874202,0.3173568515593556,2.3432064898900505e-05,171
TOMM34,0.11688688775245797,0.13729881572161795,0.11309556309285348,0.140805363479099,171
PIMREG,0.1167287694321919,0.13783502819874546,0.24899935740480003,0.001023127253303857,171
LUZP1,0.11655678108383236,0.13842009102588543,-0.0733326573383489,0.34048899798763294,171
BOK,0.11601862399380407,0.14026301860673984,0.06296713404321942,0.4132572298509554,171
DHX57,0.11530986555822556,0.14271862717281156,0.13942456825822,0.06895204242210586,171
BACH1,0.11520029233628683,0.1431011611323253,-0.1087527952293349,0.15680489372669745,171
PRKCQ,0.11382715955502909,0.14796124668495422,-0.3525909908267314,2.2485292918051703e-06,171
NET1,0.11351924493135311,0.1490680371275607,0.177739084730805,0.02003231025480347,171
BCL9,0.11259688806313453,0.15242088963438638,0.041462093180517925,0.5902718694995825,171
RALGAPB,0.11222378430741904,0.1537931931373368,0.036358530946877535,0.6368422892513309,171
CARMIL2,0.11211837209390836,0.1541825878073788,-0.19444896107772305,0.010819573049685342,171
ZC3H12D,0.11166143202139983,0.1558791184889703,-0.44439537811142893,1.137622311734406e-09,171
DSP,0.11154970094207434,0.15629608168099512,0.18196905342903738,0.017217800743591496,171
MPHOSPH10,0.11146648077351326,0.15660719073310467,0.2467637739481172,0.001139316619003199,171
LMNA,0.11022927426757194,0.16128736986230127,0.08592056418784048,0.2638301925983082,171
RBM5,0.10993106866356142,0.1624309335582352,-0.33311633493918147,8.510136049878857e-06,171
PKN3,0.10981594743038528,0.16287401998680712,0.023585825464895804,0.7594484833042608,171
MAGED1,0.10971608322811198,0.16325911504974763,0.22796711304340453,0.002710631752738346,171
CACNB3,0.1092403412645045,0.16510300598958724,0.17417751108644933,0.022702454088869756,171
ASAP3,0.10887139851721707,0.1665436201065515,0.05504119269518397,0.4745966227810755,171
PRKDC,0.10730547234545952,0.17276240180477936,0.04442127128260051,0.5640017354249177,171
ARFGEF2,0.10721115615442364,0.1731423799920704,0.014227094719501638,0.8534736113228563,171
TRANK1,0.10638866348847834,0.17648227792477858,-0.4235824654898317,7.809214827437935e-09,171
MYCT1,0.10620280511202528,0.17724353932977832,-0.2690716088701428,0.0003728100453887433,171
OPHN1,0.10558142785343591,0.17980624320317268,0.17539550207331625,0.021756729811649653,171
JCAD,0.1054108265078857,0.18051459252260785,-0.19028979185557454,0.012669298562570836,171
MYBL2,0.10532067132527786,0.18088975167172444,0.10412682946148073,0.17531081241030377,171
SEC16A,0.10410843086990489,0.18599001745230734,-0.0031931763704954336,0.9669371232526408,171
HLCS,0.10393782952435468,0.18671615903021752,0.20066251509742442,0.008498927323445317,171
WRNIP1,0.1029239304707189,0.19107452615856352,0.1310498302312799,0.0875425486515679,171
CYFIP1,0.10282822727687368,0.19148971706141985,-0.06620951004963756,0.389570831863395,171
PITPNM3,0.10228313517279865,0.19386704231647708,0.2221628892923528,0.0034954326492532078,171
MIIP,0.10177549214457608,0.196100277226473,-0.08815134768004304,0.25158542566295156,171
KAT6A,0.10161321281588197,0.19681810377017442,0.003832771637490573,0.9603195699755308,171
PPP1R13L,0.1012858801528751,0.19827182364972734,0.12788785362990615,0.09552702276146752,171
WWC3,0.10121791701521687,0.19857462807892676,0.03351095201896109,0.663474837894213,171
MORC3,0.1011943379674579,0.19867976089963396,-0.12661826302487642,0.09889119286709648,171
NPEPPS,0.1007477230628468,0.20067871881141308,0.0364797300500042,0.6357186934885772,171
HCN4,0.09996396883766626,0.2042217177541378,0.000361531534078683,0.9962555712239793,171
PCNT,0.09909857672252817,0.20818588849413333,0.13134982801129638,0.08681358627360018,171
CCNYL1,0.09904032260453541,0.20845470940974475,-0.14904849704114873,0.05169699103106566,171
RBM15B,0.0982580530200613,0.21208876083318687,-0.03314735470958112,0.6669069079317269,171
DTX2,0.09816651083464412,0.21251696768784423,-0.05861836622410049,0.44631817024609094,171
MAP3K9,0.09800700551156874,0.2132645629810603,0.09999286005285363,0.1931730728212693,171
FOXC1,0.09790714130929544,0.21373357881282928,0.15084608373900749,0.0489089752518394,171
IWS1,0.09770463889913017,0.2146869008670159,0.09040613099464692,0.23961397520616481,171
ZBTB37,0.09715677278943641,0.21728130507307963,-0.03913411040759003,0.6113227893520601,171
KIFAP3,0.09710961469391846,0.21750566055438014,-0.013913897037164431,0.8566642607470032,171
RNPS1,0.0968530191741885,0.21872931039039073,0.2154308058120758,0.004658211999610401,171
TRMT1L,0.09651875149713485,0.2203306987759149,-0.15150847883728388,0.04791367163631458,171
MEX3D,0.09616783978636897,0.22202076942085117,0.16513317801451244,0.03089686507138939,171
HASPIN,0.09550069143507102,0.2252592315757608,0.1385401748027314,0.07074912166039908,171
SRRM2,0.09512203966811812,0.2271120749990715,0.011750313047685562,0.8787661401615307,171
TP53BP1,0.09503604549393835,0.2275343629886221,-0.0718146685714655,0.3506049290054589,171
GMIP,0.094545046499428,0.22995611145431588,-0.3538953811742431,2.050130587467937e-06,171
GLCCI1,0.09437583215668716,0.23079491797289808,-0.3134556804280213,2.9851049049516845e-05,171
MARK4,0.0940901095779608,0.23221614839065405,0.208118059926394,0.006304474697443323,171
STK10,0.0935866275581663,0.2347355028493781,-0.5076766431929317,1.370692516743806e-12,171
KRT23,0.09353114744579223,0.23501428608603817,0.07119067318903123,0.354817470702768,171
CARD8,0.09349647237555846,0.23518864349028587,-0.42846402936625994,5.028405596834123e-09,171
HSPA4,0.09177242788353486,0.24397230659756494,-0.033323753404230806,0.6652409758746843,171
DOCK2,0.091500575332902,0.24537790453586328,-0.467454140839442,1.1503505120443747e-10,171
LRP1,0.09140209813343808,0.24588846092368558,-0.17906507491847784,0.019110021329764356,171
HBP1,0.09126346107503322,0.24660847646435705,0.055198424650712376,0.47333352129211426,171
SCARF1,0.09114411561089876,0.24722947163500059,-0.37860799830088077,3.290490268617097e-07,171
CWC25,0.09111082754347431,0.24740287412696965,-0.20993484648217384,0.005853111401670923,171
RTF1,0.09095687023163633,0.24820595789111083,-0.057785572386774745,0.4528153850328761,171
GATAD2B,0.09085700602936303,0.24872784218483146,0.15108008200742035,0.04855542639541873,171
BICRAL,0.09081400894227314,0.24895277632145668,0.08690455690629455,0.25837974016177484,171
ZBTB10,0.09072107975404661,0.24943940551967148,0.04481366837886207,0.5605605831661811,171
RLIM,0.08992632714428835,0.2536280792529268,0.08209019253259003,0.28579228457764966,171
PLPP6,0.08943671515258735,0.2562325530227685,0.020027851793900334,0.794861229594795,171
LIMD1,0.08869466864958442,0.26021482094283543,-0.1526172706322248,0.046285395697771445,171
IL10RB,0.08841588108490483,0.2617218702903664,-0.1365757893391835,0.0748770450717148,171
GABPA,0.08807467839380442,0.26357443655349017,0.05417119913313617,0.48161864518507813,171
SP100,0.08791794707634774,0.26442840896934405,-0.43744836288219346,2.19558309723879e-09,171
KMT2B,0.08759616242457824,0.26618761450092754,0.18623982182535204,0.014731391977609365,171
CAAP1,0.08741169105093452,0.2671997152765791,0.06953468544334024,0.366149639722554,171
RPA1,0.08668490157883449,0.27121272945777847,0.27084039578112,0.0003397702539901124,171
L3MBTL3,0.0862743487472665,0.27349761170984294,-0.0855893666387023,0.26568228835315894,171
PAK6,0.08613148745790332,0.2742957376155517,0.15061928541731504,0.04925368691799375,171
COG5,0.0857250956347634,0.27657474734158555,0.2095028496789501,0.005957738060709998,171
CCNE1,0.08550733619369526,0.2778011701475647,0.10173164718582915,0.18550497013738695,171
FBLN2,0.08543382504479966,0.27821601244118005,-0.09197211940633294,0.23153747275054334,171
SEC23A,0.08513839344640783,0.27988741997176536,-0.16581837294407006,0.030198256286866343,171
UBAC1,0.08465710347156294,0.28262477337444747,0.07032427960034363,0.3607186901657123,171
PRKCD,0.08465710347156294,0.28262477337444747,-0.26286165482380164,0.0005138381632563684,171
ZNF711,0.08434300576364735,0.28442087771825403,0.2349608022665446,0.001978777055417963,171
ZC3HAV1,0.08432977080855604,0.28449672676758775,-0.19731213989020036,0.009688652478295659,171
PDXDC1,0.08408011030287282,0.2859300624726621,0.2049608832895006,0.007163137431965183,171
ZNF213,0.0838332238028083,0.28735221821236434,0.19149818291348092,0.01210523270100769,171
TMEM131,0.08383050787056046,0.28736788921710416,-0.10789006634754884,0.16013993706913593,171
CEP89,0.08367787948816095,0.28824947752003965,0.3117564930020079,3.3136109746872013e-05,171
TRIM22,0.08337551287572238,0.2900012897957811,-0.431760404973081,3.7205483171063397e-09,171
SRSF5,0.08332974178301379,0.2902670897835956,-0.26709402350427414,0.0004132606013774918,171
FLNB,0.08263069236710076,0.2943467620841588,0.09978406159796215,0.19410917607838574,171
REXO1,0.08114937336671361,0.3031170621835415,-0.03470614317454676,0.6522427244072256,171
APBB1IP,0.08110776328243309,0.3033658783552965,-0.4964759260782364,4.9901184497547305e-12,171
QSOX2,0.08081233168404127,0.30513633907783716,0.11143477538268223,0.1467703959886491,171
NHSL2,0.0805612841755487,0.3066461420110136,-0.06876189116201778,0.3715137141052694,171
GPATCH2,0.08012715229622176,0.3092685677564754,0.0586039663306597,0.446430065226629,171
KCNQ1,0.07985951607649337,0.3108925505260789,-0.1383170594439958,0.07120845301858052,171
SLC43A2,0.07973879150960339,0.3116269128232437,-0.15283326903383668,0.04597363412861877,171
GPATCH8,0.07967498938037325,0.31201547565050103,0.05079682410351078,0.5093765741727033,171
GIT1,0.07953351509381942,0.3128781993948542,0.07367825478092789,0.33821208645811124,171
RASAL3,0.0788372396835251,0.31714680770540277,-0.48195243355207845,2.4891588148181626e-11,171
DOCK10,0.07871102242787413,0.3179246309477068,-0.4381455577229518,2.056750298210458e-09,171
PLEK,0.07861393223121954,0.3185237984734498,-0.4964207264867134,5.021415915002192e-12,171
NDRG3,0.07822418444179184,0.32093639613654124,-0.043456478422067506,0.5725051642387806,171
VPS8,0.07721860740501219,0.32721554254234325,-0.019063058933367325,0.8045399105985986,171
KMT2C,0.07709932516340798,0.32796558682147375,0.0446996692224558,0.561559266903387,171
RALY,0.0765667160846171,0.3313280918528879,0.08762695156057423,0.2544278898182986,171
PCYT1A,0.076507074963815,0.33170599245133875,-0.14131935423680408,0.06522688281696754,171
AFAP1L1,0.07644465983739418,0.33210176525411184,-0.1083327983373118,0.15842189352473915,171
FBXO42,0.07619916034013902,0.3336614027416592,-0.08085180169668199,0.2931475165957615,171
PIGB,0.07612981019967144,0.33410282484283094,-0.12452787849372156,0.1046337708591903,171
FLYWCH1,0.07608126510134415,0.3344120421748417,-0.07286826077488338,0.34356388652756614,171
EVI2B,0.07503685198590267,0.3411088618238733,-0.5398556050686197,2.545184975807078e-14,171
RNF19A,0.07501188593533435,0.341269979132721,-0.031400167638765124,0.6834944122547663,171
ROCK2,0.074623525148716,0.3437824607064106,0.12728665807875314,0.09710857666553424,171
UBR1,0.07453614397172688,0.3443493774882614,-0.28709187552017285,0.00014058385094378742,171
RASGRP2,0.07434612458684574,0.34558423526064513,-0.4703137196785591,8.55395349281675e-11,171
MB21D2,0.07423793836771635,0.3462885404980655,0.12591986819299802,0.10078137420305436,171
RIPK3,0.07421852032838543,0.34641505005608864,-0.4029918178606204,4.637762460405643e-08,171
USP42,0.07420881130871997,0.3464783157676331,-0.062465537755031865,0.41699555246970343,171
MLXIPL,0.0738606736035728,0.34875165845780143,0.0410864959599373,0.5936457747652738,171
ARHGAP30,0.07381767651648291,0.3490330797124525,-0.4724773036680379,6.823793166941341e-11,171
HIVEP1,0.07354656841645274,0.3508108049122455,0.029396200105839283,0.7027074710473167,171
CROCC,0.0721366291115492,0.3601475768917207,-0.05590158632827123,0.46770725707119887,171
MEF2D,0.07200763785027953,0.3610094191297415,-0.06300193378570133,0.4129986043371521,171
INTS1,0.07105060591182717,0.36744369441731994,0.09647448608882032,0.20938998597809316,171
TJP3,0.07102425285844949,0.36762186552608633,0.06174314310075218,0.4224140350167837,171
YOD1,0.07083562047637772,0.36889875152921453,0.124699477223891,0.1041526928399308,171
BLNK,0.07079401039209719,0.3691807850527325,-0.19958252308936508,0.008867462729154731,171
